customer_state,total_ingresos_brl,total_ingresos_clp,transacciones
AC,19680.62,3446529.21626,84
AL,96322.08,16868211.615840003,426
AM,27966.93,4897652.682390001,154
AP,16262.8,2847990.3244000003,70
BA,611666.07,107116797.17661001,3592
CE,277495.89,48595912.74447001,1391
DF,352718.04,61769041.31892001,2197
ES,324038.9,56746664.284700006,2097
GO,342124.8,59913921.35040001,2097
MA,152038.99,26625524.045770004,763
MG,1856375.81,325094100.97463006,12036
MS,137173.21,24022184.054830004,734
MT,186414.0,32645378.922000002,954
PA,217816.55,38144687.685650006,1007
PB,140995.67,24691584.717410002,568
PE,323631.09,56675247.37407,1723
PI,107935.13,18901923.770990003,519
PR,802319.18,140504541.75914,5238
RJ,2126444.23,372389292.89029,13435
RN,102718.13,17988307.079990003,522
RO,59195.1,10366423.4973,258
RR,9948.97,1742293.4733100003,45
RS,881680.6,154402551.7138,5642
SC,613707.46,107474291.51758002,3735
SE,75184.46,13166528.18858,360
SP,5942338.42,1040640131.1256601,43267
TO,61234.76,10723614.875480002,300
